"gencodeID","Symbol","logFC","AveExpr","t","P.Value","adj.P.Val","B","EntrezID"
"ENSMUSG00000054667.7","Irs4",6.75113218630054,4.82394000950607,20.9834538757029,8.21138889042533e-11,1.84526331145638e-06,14.0636239754655,16370
"ENSMUSG00000045471.4","Hcrt",10.4274580655485,-0.204965527383708,19.0884316755953,2.47435284434132e-10,2.25763143524264e-06,10.5303315114897,15171
"ENSMUSG00000027301.7","Oxt",16.4287170318311,2.74586427821727,18.767038906121,3.01392591034528e-10,2.25763143524264e-06,11.2477588796693,18429
"ENSMUSG00000092035.8","Peg10",4.76378061937987,7.74349965051864,16.0316767334142,1.85918046674162e-09,9.21688175669135e-06,12.1117388637645,170676
"ENSMUSG00000005583.16","Mef2c",-5.08076436343221,7.5118572002197,-15.8334496558619,2.1445191631974e-09,9.21688175669135e-06,11.8707843050046,17260
"ENSMUSG00000037727.6","Avp",15.4313451536075,3.62909121290798,15.6445247973773,2.46089758544625e-09,9.21688175669135e-06,9.89212912901599,11998
"ENSMUSG00000033615.9","Cplx1",-3.66914195185537,7.89257452173472,-14.8869674687461,4.34049609101483e-09,1.34585130343607e-05,11.298584632717,12889
"ENSMUSG00000055817.17","Mta3",3.31327460440813,8.05548387575774,14.675873660472,5.10785082300472e-09,1.34585130343607e-05,11.199344076946,116871
"ENSMUSG00000050721.8","Plekho2",4.47550552422149,4.2342354177798,14.5936778817156,5.44522168966723e-09,1.34585130343607e-05,10.8149609238464,102595
"ENSMUSG00000021685.11","Otp",11.7333990829385,1.75062494328819,14.4721177090726,5.98901434423312e-09,1.34585130343607e-05,9.13632257468891,18420
"ENSMUSG00000040856.17","Dlk1",5.3872077635644,4.82289988472395,14.158021837574,7.68484884099013e-09,1.56994475595209e-05,10.593659813613,13386
"ENSMUSG00000052951.5","C130021I20Rik",8.92717613173852,-1.53425603252151,13.9393665107366,9.16836029986716e-09,1.71692827215512e-05,7.87737151118924,NA
"ENSMUSG00000075217.1","4833423E24Rik",8.70612977953156,-1.78475821065496,13.7534751849846,1.06735892079931e-08,1.84505305140016e-05,7.61431151197116,228151
"ENSMUSG00000023927.15","Satb1",-3.37927986285731,6.88298260555282,-13.6604856051558,1.15248185617042e-08,1.84989801941869e-05,10.3580735405372,20230
"ENSMUSG00000056972.6","Magel2",4.96857004148791,3.40619998107407,13.3215934697302,1.53040675518034e-08,2.24013318024658e-05,9.69950586471075,27385
"ENSMUSG00000027520.15","Zdbf2",3.93566025781051,8.36705155181505,13.2728456607548,1.59496844446178e-08,2.24013318024658e-05,10.1327609825251,73884
"ENSMUSG00000109156.1","Gm45194",8.34492937484851,-1.3161726428195,13.1415711323487,1.7838894222096e-08,2.2414445686026e-05,7.5457083644625,NA
"ENSMUSG00000038872.9","Zfhx3",4.20258513966997,6.24378852480936,13.1340699860404,1.79538991789101e-08,2.2414445686026e-05,9.9723319300467,11906
"ENSMUSG00000048699.4","Krt90",8.4039260652227,-1.75122529959102,12.9886487487965,2.03489745064567e-08,2.40674818478471e-05,7.29015960357673,239673
"ENSMUSG00000017493.12","Igfbp4",-5.40372241574862,3.83514023261814,-12.6660741212548,2.69840732570608e-08,3.03193047116335e-05,9.1007225973112,16010
"ENSMUSG00000026686.14","Lmx1a",7.90108059439336,-1.92247194035829,12.5519510166965,2.98622512377853e-08,3.06727367543543e-05,6.90944440721828,110648
"ENSMUSG00000061815.11","Rufy4",8.39003483337643,-1.95972364406939,12.5457258174953,3.00284891685562e-08,3.06727367543543e-05,6.91784213072164,435626
"ENSMUSG00000033737.14","Fndc3c1",7.84263315701018,-1.83212643081369,12.3299492802191,3.64543562944974e-08,3.44634167745999e-05,6.84736318743572,333564
"ENSMUSG00000075324.13","Fign",4.3968888464274,4.55621276610892,12.2833663482034,3.80274993545965e-08,3.44634167745999e-05,9.16420324532927,60344
"ENSMUSG00000106775.1","C130093G08Rik",8.20967100508846,-1.35967134849288,12.2743487463578,3.83403978001512e-08,3.44634167745999e-05,7.09109312209654,NA
"ENSMUSG00000031210.10","Gpr165",3.48101446153558,4.92573284696694,11.9607861790766,5.1148096711738e-08,4.42076934348529e-05,8.93217842547208,76206
"ENSMUSG00000055320.17","Tead1",3.55889752672214,5.22327146827737,11.8127168370793,5.87381018666944e-08,4.88875046351243e-05,8.82015536026209,21676
"ENSMUSG00000029193.7","Cckar",9.5740929766061,-0.440142226667522,11.7727161089748,6.09907072920531e-08,4.89493990809649e-05,7.17332328479341,12425
"ENSMUSG00000033826.9","Dnah8",5.2336077668209,2.49037559756568,11.6858922363005,6.62067543557637e-08,5.13033856511283e-05,8.13591126756944,13417
"ENSMUSG00000021099.6","Six6",8.52871864172775,-1.62940239110775,11.5572619017385,7.48371956626943e-08,5.60580486977356e-05,6.68887748015592,20476
"ENSMUSG00000010476.14","Ebf3",8.11097616383686,2.60037817037541,11.4158284070589,8.5745671814335e-08,5.97485510412718e-05,7.64777868196624,13593
"ENSMUSG00000023964.15","Calcr",8.6560743359982,-0.0460247981163997,11.357877140111,9.06994471908953e-08,5.97485510412718e-05,6.96187848639084,12311
"ENSMUSG00000020176.17","Grb10",2.48175919955972,7.02670585697969,11.357803603762,9.07059255332834e-08,5.97485510412718e-05,8.44594154118707,14783
"ENSMUSG00000056829.3","Foxb2",10.0385490783368,-0.613556213389737,11.3503884725221,9.13617418227909e-08,5.97485510412718e-05,6.98642197403162,14240
"ENSMUSG00000027360.5","Hdc",9.05181376431963,0.160117231568694,11.2436594413711,1.01388557020152e-07,5.97485510412718e-05,6.96267850652625,15186
"ENSMUSG00000032773.9","Chrm1",-4.09441154062184,4.58230955075355,-11.2192502320608,1.03844287120124e-07,5.97485510412718e-05,8.13588698456461,12669
"ENSMUSG00000031344.11","Gabrq",6.9347346535355,4.69186536258237,11.1845119441294,1.07450210421889e-07,5.97485510412718e-05,8.16662971138818,57249
"ENSMUSG00000030307.8","Slc6a11",3.68437346605194,6.77175999326517,11.1775577078785,1.0818813859912e-07,5.97485510412718e-05,8.27294147369956,243616
"ENSMUSG00000018339.11","Gpx3",4.65029711430271,4.8205179312941,11.1771410375169,1.08232525181791e-07,5.97485510412718e-05,8.220055375265,14778
"ENSMUSG00000053477.16","Tcf4",-2.31771267358943,7.98020168965859,-11.1671067512044,1.09307386781097e-07,5.97485510412718e-05,8.2655796060844,21413
"ENSMUSG00000018698.15","Lhx1",8.4927810578104,-0.627780434172818,11.1381812290308,1.12470656214955e-07,5.97485510412718e-05,6.64770302710236,16869
"ENSMUSG00000029471.13","Camkk2",-3.13621784836687,5.3840256107806,-11.1327970182724,1.13070270574592e-07,5.97485510412718e-05,8.16447421706642,207565
"ENSMUSG00000035383.7","Pmch",9.58992309373783,0.513041892314579,11.1215989350679,1.14328395103893e-07,5.97485510412718e-05,7.10839874216945,110312
"ENSMUSG00000028753.12","Vwa5b1",5.37946144039962,4.44785229422118,10.984245665526,1.31048164799605e-07,6.4971064884583e-05,8.00352986012908,75718
"ENSMUSG00000041708.12","Mpped1",-3.71870817147678,5.2742383058662,-10.9823780198819,1.31292889330188e-07,6.4971064884583e-05,8.00890811811708,223726
"ENSMUSG00000054160.2","Nkx2-4",7.83667666909722,-2.04381565428159,10.9517839108436,1.35372537065174e-07,6.4971064884583e-05,5.98548450674397,228731
"ENSMUSG00000023367.14","Tmem176a",4.531749263499,2.95487920609091,10.9480005529675,1.35886438660351e-07,6.4971064884583e-05,7.7587069597451,66058
"ENSMUSG00000031980.9","Agt",5.59568256021926,3.41152699790498,10.8852527630006,1.44722843763701e-07,6.77544113553726e-05,7.74699029756567,11606
"ENSMUSG00000034555.14","Tex16",7.41819265074014,-2.13974447976869,10.8490224940952,1.50104909531109e-07,6.86348920811708e-05,5.84931071322256,83556
"ENSMUSG00000021587.4","Pcsk1",3.67324971438075,5.92402397377881,10.817088393126,1.55027505074779e-07,6.86348920811708e-05,7.91569828124292,18548
"ENSMUSG00000022237.16","Ankrd33b",-6.95821569908739,3.36963926691472,-10.812390166837,1.55766264513159e-07,6.86348920811708e-05,7.48010972354219,67434
"ENSMUSG00000024907.6","Gal",8.62467209467762,1.49991431035343,10.7762382263802,1.61579167182996e-07,6.88858202588321e-05,6.78069267729813,14419
"ENSMUSG00000002985.16","Apoe",3.40042584557749,6.39158955634926,10.7531348084607,1.65415911013135e-07,6.88858202588321e-05,7.8574496824029,11816
"ENSMUSG00000035864.14","Syt1",-2.55545773504723,9.74266565072964,-10.7524449907714,1.65531963954118e-07,6.88858202588321e-05,7.85888149997231,20979
"ENSMUSG00000097623.7","B230323A14Rik",9.21282019120738,-0.617164414731902,10.57338437915,1.98836534625306e-07,8.12409928381797e-05,6.47239971265159,NA
"ENSMUSG00000045314.5","Sowahb",-4.31254212031373,3.17228894192638,-10.5530749254058,2.03046789340559e-07,8.14797758939472e-05,7.35461742068991,78088
"ENSMUSG00000102070.1","Gm28661",9.34280390125157,-0.330538464413257,10.4821696222878,2.18514012582362e-07,8.61481910658042e-05,6.40936288270713,NA
"ENSMUSG00000046844.6","Vat1l",3.45575405779535,7.4689164823623,10.4350213424188,2.29497414139993e-07,8.89183774233434e-05,7.53855958970239,270097
"ENSMUSG00000025255.18","Zfhx4",4.43056437405082,5.69265354213878,10.3941478284955,2.39499989649656e-07,9.12210808035098e-05,7.49092354529414,80892
"ENSMUSG00000026090.16","2010300C02Rik",-4.15269694214129,4.94489299661749,-10.3351072824291,2.54784724248667e-07,9.54253720552673e-05,7.36491098225552,72097
"ENSMUSG00000036198.12","Arhgap36",4.61899027631785,2.78501723603775,10.2974298671941,2.65084800464041e-07,9.76555022299662e-05,7.12915902981424,75404
"ENSMUSG00000032355.16","Mlip",-4.44871593647086,4.14699137835533,-10.2184051835093,2.88171436877116e-07,0.000104394434130174,7.1716922657026,69642
"ENSMUSG00000044252.17","Osbpl1a",-3.74504095713069,6.75963447527863,-10.2038049322103,2.92668625409442e-07,0.000104394434130174,7.2958655356032,64291
"ENSMUSG00000079460.11","4933403O08Rik",7.91850385385706,-1.67103665997207,10.1710854979434,3.03023198270266e-07,0.000106399020492647,5.67536584098165,71030
"ENSMUSG00000033287.15","Kctd17",-3.27008323483654,4.49165193473971,-10.1077347803546,3.24207879596665e-07,0.000112086145696865,7.13150190583002,72844
"ENSMUSG00000025666.16","Tmem47",3.13903569609218,6.70425272887617,10.0784854835245,3.34521176397542e-07,0.000113899392060691,7.16828130593087,192216
"ENSMUSG00000032349.13","Elovl5",2.5489018210507,5.51698621736413,9.99691760599827,3.65189903774868e-07,0.000122485783845206,7.08044531597764,68801
"ENSMUSG00000033174.17","Mgll",-3.21241003350677,4.96167898974916,-9.94300849993447,3.8710916123757e-07,0.000127928192225451,6.98537132494804,23945
"ENSMUSG00000003410.7","Elavl3",-2.21078644308517,7.47492963333173,-9.88912744522626,4.10435580054635e-07,0.000133671135579533,6.96670481557724,15571
"ENSMUSG00000021609.6","Slc6a3",9.12023033688238,-1.33523077491643,9.84248821838718,4.31847682260591e-07,0.000138635444510857,5.61849216724988,13162
